id,current_pos,corrected_direction,prev_target_pos,target_pos,speed_vector
0,[-0.00075263  0.00693862],[0.01419658 0.01408748],"[0.014087476718037442, -0.014196584086277693]","[-0.035, -0.006]",[-0.00075263  0.00693862],2.4150469303131104
1,[-0.0040983   0.00574034],[0.01440929 0.01387312],"[0.013873119072892952, -0.01440929429296926]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.025888919830322266
2,[-0.0040983   0.00574034],[0.01440965 0.01387276],"[0.013872761285330706, -0.014409649330767263]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01673436164855957
3,[-0.0040983   0.00574034],[0.01440999 0.01387241],"[0.013872414977310697, -0.014409992977248662]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01619744300842285
4,[-0.0040983   0.00574034],[0.01441033 0.01387208],"[0.013872076524519193, -0.014410328828872651]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015830039978027344
5,[-0.0040983   0.00574034],[0.01441067 0.01387174],"[0.013871735859418038, -0.01441066687580366]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015933513641357422
6,[-0.0040983   0.00574034],[0.01441112 0.01387128],"[0.013871278084635095, -0.014411121132373946]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.02141094207763672
7,[-0.0040983   0.00574034],[0.01441145 0.01387095],"[0.01387094519320264, -0.014411451465380521]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015569925308227539
8,[-0.0040983   0.00574034],[0.01441177 0.01387062],"[0.013870620065243911, -0.014411774094579288]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01520681381225586
9,[-0.0040983   0.00574034],[0.0144121  0.01387029],"[0.01387028705656924, -0.01441210454392702]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015575408935546875
10,[-0.0040983   0.00574034],[0.01441244 0.01386994],"[0.013869944398350407, -0.014412444568657668]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.016026735305786133
11,[-0.0040983   0.00574034],[0.01441279 0.01386959],"[0.013869593130474894, -0.014412793136875771]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.016429424285888672
12,[-0.0040983   0.00574034],[0.01441328 0.0138691 ],"[0.013869098969824944, -0.01441328349967071]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.023112773895263672
13,[-0.0040983   0.00574034],[0.01441362 0.01386876],"[0.013868761424386245, -0.014413618450915322]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015787601470947266
14,[-0.0040983   0.00574034],[0.01441397 0.01386841],"[0.013868410829379105, -0.01441396635143636]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.016397953033447266
15,[-0.0040983   0.00574034],[0.0144143  0.01386808],"[0.013868077290565715, -0.014414297326848445]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015600204467773438
16,[-0.0040983   0.00574034],[0.01441463 0.01386774],"[0.01386774265069499, -0.01441462939485573]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015651702880859375
17,[-0.0040983   0.00574034],[0.01441497 0.0138674 ],"[0.013867398096210742, -0.014414971301278109]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.016115427017211914
18,[-0.0040983   0.00574034],[0.01441531 0.01386705],"[0.01386705457651649, -0.014415312180863334]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.016067028045654297
19,[-0.0040983   0.00574034],[0.01441565 0.01386671],"[0.013866712810357998, -0.014415651320389541]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01598501205444336
20,[-0.0040983   0.00574034],[0.01441598 0.01386638],"[0.013866380336919533, -0.014415981238614607]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015550374984741211
21,[-0.0040983   0.00574034],[0.01441635 0.01386601],"[0.01386601338917194, -0.014416345366197661]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.017162799835205078
22,[-0.0040983   0.00574034],[0.01441667 0.01386568],"[0.013865681894451108, -0.014416674313226996]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015504598617553711
23,[-0.0040983   0.00574034],[0.014417   0.01386536],"[0.01386535621596371, -0.014416997488723361]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.015232563018798828
24,[-0.0040983   0.00574034],[0.01441731 0.01386504],"[0.013865036955213293, -0.014417314295806049]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.014932394027709961
25,[-0.0040983   0.00574034],[0.01441772 0.01386463],"[0.013864625271913884, -0.014417722815127341]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01925516128540039
26,[-0.0040983   0.00574034],[0.01441807 0.01386428],"[0.013864278576484812, -0.014418066846040384]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01621556282043457
27,[-0.0040983   0.00574034],[0.01441841 0.01386394],"[0.01386393554105189, -0.014418407245086055]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.01604437828063965
28,[-0.0040983   0.00574034],[0.01441884 0.0138635 ],"[0.01386350268278869, -0.014418836776631671]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.02024555206298828
29,[-0.0040983   0.00574034],[0.01441928 0.01386306],"[0.013863056178550992, -0.014419279849276108]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.020883798599243164
30,[-0.0040983   0.00574034],[0.01441979 0.01386254],"[0.013862544579395715, -0.014419787516553331]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.023928403854370117
31,[-0.0040983   0.00574034],[0.01442027 0.01386206],"[0.013862055251164079, -0.014420273084069344]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.02288675308227539
32,[-0.0040983   0.00574034],[0.01442074 0.01386159],"[0.013861585976448945, -0.01442073875218948]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.021948814392089844
33,[-0.0040983   0.00574034],[0.01442118 0.01386115],"[0.013861145482149213, -0.014421175861085126]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.020602703094482422
34,[-0.0040983   0.00574034],[0.01442163 0.01386068],"[0.013860683919932929, -0.014421633875980562]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.02158808708190918
35,[-0.0040983   0.00574034],[0.01442231 0.01386   ],"[0.013860000020596832, -0.014422312519231375]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.03198719024658203
36,[-0.0040983   0.00574034],[0.01442294 0.01385937],"[0.013859368589701349, -0.014422939097286005]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.02953314781188965
37,[-0.0040983   0.00574034],[0.01442395 0.01385835],"[0.013858354755475649, -0.014423945139722952]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.047418832778930664
38,[-0.0040983   0.00574034],[0.01442889 0.01385338],"[0.013853375259350284, -0.014428886366098771]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.23289990425109863
39,[-0.0040983   0.00574034],[0.01442942 0.01385283],"[0.013852833243486065, -0.014429424216318345]","[-0.0, 0.0]",[-0.00075263  0.00693862],0.02535104751586914
